material,exp_id,iteration,replication,writeLatency_mean,writeEnergy_mean,L2_norm_Error,Loo_norm_Error
Ag-aSi,exp2,100,1,644.5188057722346,0.0030877282779080703,104.08329704455619,3.5262437464021135
Ag-aSi,exp2,100,2,745.6150435154273,0.0035645375021638405,3.821347557524899,1.268220813226805
Ag-aSi,exp2,100,3,743.394794877295,0.003561637970800907,4.159171356813648,1.2242406266996553
Ag-aSi,exp2,100,4,745.4736127761277,0.0035778423283613623,68.43577016845532,2.8380906808039295
Ag-aSi,exp2,100,5,751.0283217255435,0.0035927195972932677,14.376992111587148,2.141601532851157
Ag-aSi,exp3,100,1,2973.1221848079485,0.02787989774867549,22.874670603524198,2.5848643549925128
Ag-aSi,exp3,100,2,2964.3898817310323,0.028047595379152468,5.30231025822943,1.4661489532260927
Ag-aSi,exp3,100,3,2961.6864663464153,0.028108096728848238,4.778294045174934,0.9413295838030122
Ag-aSi,exp3,100,4,2971.4072232694903,0.028305563562165757,12.965624733186207,0.9612159064802555
Ag-aSi,exp3,100,5,2969.2909125002593,0.02813086314614525,7.100823838161605,1.3040613339902845
Ag-aSi,exp4,100,1,11568.539927595537,0.21621850279869342,18.348367782468063,6.601920478178147
Ag-aSi,exp4,100,2,11724.723615830835,0.2163996685548323,12.327098629992953,4.708394585066374
Ag-aSi,exp4,100,3,11586.393739360206,0.21520209856059572,11.407502812990925,6.859734905723977
Ag-aSi,exp4,100,4,11629.959527595534,0.21684865937407677,271.5197266413723,9.62555320778352
Ag-aSi,exp4,100,5,11879.981398183794,0.2173986827862802,278.30532957726217,9.345830253629842
AlOx-HfO2,exp2,100,1,121.45541355433565,0.07336406861372882,142.8777673229234,5.1856130546945325
AlOx-HfO2,exp2,100,2,121.46793417690377,0.07337070859083089,140.27123863514467,5.143103188505777
AlOx-HfO2,exp2,100,3,120.93262989674811,0.07326216542842752,341.80596359512134,11.099140250095138
AlOx-HfO2,exp2,100,4,121.39142989674814,0.07335972119675509,155.61591027288083,5.749202318060861
AlOx-HfO2,exp2,100,5,121.45262483838238,0.07334101828099918,142.1784385638506,6.676595821207584
AlOx-HfO2,exp3,100,1,479.9764909617952,0.5785569548674789,156.35305065068354,6.199775632504667
AlOx-HfO2,exp3,100,2,480.80186019256377,0.578607768185547,130.90453706747357,6.684290472917131
AlOx-HfO2,exp3,100,3,479.5137155771796,0.5783705732200283,160.04007487265557,7.385587197370622
AlOx-HfO2,exp3,100,4,480.2363525002562,0.5786305608034614,187.76135267661445,7.465002359986403
AlOx-HfO2,exp3,100,5,479.43395865410236,0.5782489663990512,219.20225183701723,9.161606957487143
AlOx-HfO2,exp4,100,1,1850.0356570072663,4.425433670625743,119.73681446391623,4.532391292291609
AlOx-HfO2,exp4,100,2,1847.7254334778606,4.425891509930961,235.54500398071596,8.726693437439113
AlOx-HfO2,exp4,100,3,1845.6084217131504,4.4243368094125595,235.49605651231613,8.98926072252473
AlOx-HfO2,exp4,100,4,1851.2719746543312,4.424767627921527,130.32110701256516,6.430483727354356
AlOx-HfO2,exp4,100,5,1849.0916217131507,4.425442013932098,129.6017996366009,6.009282867309912
EpiRAM,exp2,100,1,13.801521686631878,0.05427044185614168,104.2705577744063,3.499171668737132
EpiRAM,exp2,100,2,13.729267211923709,0.053931416854757226,109.10015178628389,3.671524185315889
EpiRAM,exp2,100,3,13.744436316982073,0.054004549538249874,112.4982094903472,3.7608254857060355
EpiRAM,exp2,100,4,13.78272705628168,0.05418093425295145,108.26451511081316,3.6243803889212747
EpiRAM,exp2,100,5,13.791268301417873,0.054219713467537844,107.63589770851152,3.606648804434149
EpiRAM,exp3,100,1,54.47664603872062,0.42611101641080157,81.18319454350093,3.496448707029593
EpiRAM,exp3,100,2,54.56265434641292,0.42691281881979054,81.09778218799532,3.734487410542023
EpiRAM,exp3,100,3,54.62843680795133,0.42750708999565074,79.6398347103962,3.5985100551848777
EpiRAM,exp3,100,4,54.62843680795133,0.42750708999520864,79.6398347103962,3.5985100551848777
EpiRAM,exp3,100,5,54.47684834641291,0.4260635245649573,78.74479563336487,3.734487410542023
EpiRAM,exp4,100,1,210.1864464190455,3.2633706759989245,159.24179938078055,5.911118944502016
EpiRAM,exp4,100,2,209.82637818375213,3.2556840079629352,137.52265721480262,5.518016452160611
EpiRAM,exp4,100,3,210.17687318375235,3.263028777552364,155.16287733226676,5.910843206103398
EpiRAM,exp4,100,4,209.99888230139885,3.2585073490323584,147.26222769263495,5.614359838769277
EpiRAM,exp4,100,5,210.37734877198733,3.2662381890631518,154.0126425672271,6.5109849915874
TaOx-HfOx,exp2,100,1,0.1042713488885813,3.6912285681151595e-05,205.97863227495822,7.036596958226437
TaOx-HfOx,exp2,100,2,0.10444340608702488,3.699199346711074e-05,208.18457246142182,6.939348405062983
TaOx-HfOx,exp2,100,3,0.10434546036718055,3.695921935246839e-05,209.91869704854182,7.252358780408068
TaOx-HfOx,exp2,100,4,0.1043112706784646,3.694576045112716e-05,209.9992992989653,7.172945797522446
TaOx-HfOx,exp2,100,5,0.10451056678741401,3.701969635104536e-05,211.6754048441811,7.0988676079917274
TaOx-HfOx,exp3,100,1,0.4143078341053492,0.0003029942107775723,65.68340132113786,3.4873259615324894
TaOx-HfOx,exp3,100,2,0.41392849872073373,0.0003025543633173245,86.23843000044116,4.074981551546269
TaOx-HfOx,exp3,100,3,0.41599098179765687,0.00030441756536350674,93.80142829172912,3.828779108497432
TaOx-HfOx,exp3,100,4,0.41474159948996425,0.0003033406769572961,77.2071266556843,4.1553509261995405
TaOx-HfOx,exp3,100,5,0.41588442795150304,0.00030430939406071836,93.34976989222395,4.271392231739784
TaOx-HfOx,exp4,100,1,1.6051381572830608,0.002491579757122313,133.5066056158111,5.659503284724349
TaOx-HfOx,exp4,100,2,1.6090823366948255,0.0024989693147312113,116.70184563073718,5.856699866374644
TaOx-HfOx,exp4,100,3,1.611188754341876,0.0025030950520199937,112.28555792633122,5.9244119207768975
TaOx-HfOx,exp4,100,4,1.6101893072830522,0.0025006647714207546,110.10760955547207,6.18072090468344
TaOx-HfOx,exp4,100,5,1.6078637778712928,0.0024968028841489825,118.57884057972949,6.040678739236781
